CATEGORIA,PERFIL,DIA,MES,ANO,IPD,PD,FAMA,ENGAJ,VALENCIA,MOD,RANKING,META,INTERESSE
Person. Nacionais - Tracking',Flávio Dino,14,1,2021,  19.02167 ,  4.00000 ,  1.58097 ,  1.07671 ,  2.49502 ,  1.18972 ,11,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.00000 
Person. Nacionais - Tracking',Rodrigo Pacheco,14,1,2021,  15.87868 ,  4.00000 ,  1.48173 ,  1.00502 ,  1.00000 ,  1.00000 ,12,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.41872 
Person. Nacionais - Tracking',Alexandre Kalil,14,1,2021,  15.30738 ,  4.00000 ,  1.65475 ,  1.00000 ,  1.00000 ,  1.00000 ,13,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.15953 
Person. Nacionais - Tracking',Luiza Trajano,14,1,2021,  13.19854 ,  4.00000 ,  1.27537 ,  1.00046 ,  1.00000 ,  1.00057 ,14,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.13982 
Person. Nacionais - Tracking',Jair Bolsonaro,14,1,2021,  78.95120 ,  4.00000 ,  3.16831 ,  4.00000 ,  3.98684 ,  4.00000 ,1,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  4.00000 
Person. Nacionais - Tracking',Luciano Huck,14,1,2021,  44.82532 ,  4.00000 ,  4.00000 ,  2.29304 ,  3.60713 ,  1.42727 ,2,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.38777 
Person. Nacionais - Tracking',Lula,14,1,2021,  37.67456 ,  4.00000 ,  2.06381 ,  1.62298 ,  2.52279 ,  2.01831 ,3,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.54331 
Person. Nacionais - Tracking',Alexandre Kalil,14,1,2021,  34.42524 ,  4.00000 ,  1.68321 ,  1.59081 ,  2.42698 ,  3.41280 ,4,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.12727 
Person. Nacionais - Tracking',Guilherme Boulos,14,1,2021,  32.11722 ,  4.00000 ,  2.13445 ,  1.35233 ,  3.27136 ,  2.40831 ,5,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.08863 
Person. Nacionais - Tracking',Arthur Lira,14,1,2021,  31.56393 ,  4.00000 ,  2.85421 ,  1.03526 ,  4.00000 ,  1.31744 ,6,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.31806 
Person. Nacionais - Tracking',Ciro Gomes,14,1,2021,  29.43663 ,  4.00000 ,  1.94779 ,  1.38592 ,  3.14559 ,  1.81417 ,7,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.34730 
Person. Nacionais - Tracking',Rodrigo Maia,14,1,2021,  27.94013 ,  4.00000 ,  2.79542 ,  1.37596 ,  1.11867 ,  1.51794 ,8,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.43049 
Person. Nacionais - Tracking',Fernando Haddad,14,1,2021,  23.29878 ,  4.00000 ,  1.81911 ,  1.23962 ,  2.14018 ,  1.64817 ,9,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.10582 
Person. Nacionais - Tracking',João Doria,14,1,2021,  22.33682 ,  4.00000 ,  1.68806 ,  1.20831 ,  1.90650 ,  1.14657 ,10,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.64612 
Person. Nacionais - Tracking',Sergio Moro,14,1,2021,  19.47696 ,  4.00000 ,  1.00000 ,  1.20760 ,  1.00000 ,  2.26804 ,11,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.15140 
Person. Nacionais - Tracking',Flávio Dino,14,1,2021,  18.49284 ,  4.00000 ,  1.57712 ,  1.04676 ,  2.50414 ,  1.11952 ,12,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.00000 
Person. Nacionais - Tracking',Rodrigo Pacheco,14,1,2021,  14.94406 ,  4.00000 ,  1.38216 ,  1.00555 ,  1.00000 ,  1.00000 ,13,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.34544 
Person. Nacionais - Tracking',Luiza Trajano,14,1,2021,  12.34133 ,  4.00000 ,  1.15403 ,  1.00000 ,  1.00000 ,  1.00041 ,14,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.10192 
Person. Nacionais - Tracking',Jair Bolsonaro,14,1,2021,  79.93272 ,  4.00000 ,  3.34818 ,  4.00000 ,  4.00000 ,  4.00000 ,1,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  4.00000 
Person. Nacionais - Tracking',Luciano Huck,14,1,2021,  45.43688 ,  4.00000 ,  4.00000 ,  2.36944 ,  3.70055 ,  1.43142 ,2,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.37506 
Person. Nacionais - Tracking',Lula,14,1,2021,  36.05150 ,  4.00000 ,  2.10853 ,  1.51519 ,  2.53335 ,  1.69966 ,3,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.60774 
Person. Nacionais - Tracking',Alexandre Kalil,14,1,2021,  33.71709 ,  4.00000 ,  1.72045 ,  1.58741 ,  2.43107 ,  3.31382 ,4,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.05805 
Person. Nacionais - Tracking',Guilherme Boulos,14,1,2021,  32.08475 ,  4.00000 ,  2.16302 ,  1.33695 ,  3.52041 ,  2.28757 ,5,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.07511 
Person. Nacionais - Tracking',João Doria,14,1,2021,  31.53748 ,  4.00000 ,  2.22709 ,  1.29850 ,  2.21156 ,  1.30970 ,6,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.40619 
Person. Nacionais - Tracking',Arthur Lira,14,1,2021,  30.93591 ,  4.00000 ,  2.70994 ,  1.04188 ,  3.97652 ,  1.39612 ,7,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.27358 
Person. Nacionais - Tracking',Rodrigo Maia,14,1,2021,  29.88608 ,  4.00000 ,  3.07075 ,  1.39457 ,  1.40444 ,  1.49496 ,8,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.39782 
Person. Nacionais - Tracking',Ciro Gomes,14,1,2021,  29.79965 ,  4.00000 ,  1.98431 ,  1.37318 ,  3.42317 ,  1.70497 ,9,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.37130 
Person. Nacionais - Tracking',Fernando Haddad,14,1,2021,  24.87275 ,  4.00000 ,  1.89115 ,  1.27401 ,  2.31841 ,  1.76701 ,10,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.09885 
