PERFIL;IPD;PD;FAMA;ENGAJ;VALENCIA;MOD;RANKING;INTERESSE
Rodrigo Pacheco;1648716;400000;112978;105320;262014;101436;13;110309
Luiza Trajano;1321533;400000;138320;100000;100000;100000;14;104244
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Luciano Huck;4542412;400000;366415;284399;382439;129929;2;127230
Lula;3808410;400000;276309;156300;250763;140770;3;258226
Joao Doria;3509682;400000;230944;132068;236388;135735;4;283118
Arthur Lira;3444897;400000;327385;105894;385759;154189;5;126955
Ciro Gomes;3376412;400000;196479;214918;368797;155617;6;132684
Alexandre Kalil;3195150;400000;127536;162308;240646;346363;7;100000
Guilherme Boulos;2908432;400000;259288;124883;228069;192829;8;108379
Fernando Haddad;2885947;400000;176750;138584;370123;191277;9;108687
Rodrigo Maia;2755611;400000;271313;136278;178603;129433;10;137116
Flavio Dino;1873216;400000;159594;105784;245592;114588;11;101024
Rodrigo Pacheco;1816754;400000;143195;105849;262165;101458;12;111189
Sergio Moro;1782280;400000;100000;117209;100000;193618;13;119523
Luiza Trajano;1337114;400000;140286;100000;100000;100000;14;105169
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Luciano Huck;3969230;400000;359727;202388;389622;123562;2;117786
Lula;3879013;400000;284745;152359;250449;143202;3;264798
Arthur Lira;3463762;400000;340073;114707;357945;146370;4;128414
Joao Doria;3404200;400000;203526;139277;228045;126066;5;295138
Ciro Gomes;3343632;400000;211039;207879;359214;146930;6;132340
Fernando Haddad;2955557;400000;189180;152230;370440;178101;7;107346
Guilherme Boulos;2885922;400000;263703;137297;237052;164211;8;109782
Rodrigo Maia;2848895;400000;271399;150249;202861;125633;9;132491
Flavio Dino;1890354;400000;162496;108174;245067;112866;10;100704
Rodrigo Pacheco;1868581;400000;151410;105682;261832;101301;11;113146
Sergio Moro;1764045;400000;100000;141585;100000;163265;12;119068
Alexandre Kalil;1271224;400000;133309;100000;100000;100000;13;100000
